name,address,lat,lng
소양초등학교,강원도 춘천시 우두동 282-1,37.9047504,127.7399293
남부초등학교,강원도 춘천시 퇴계동 915,37.8587926,127.7267045
동춘천초등학교,강원도 춘천시 효자동 44-3,37.8772184,127.7428554
부안초등학교,강원도 춘천시 후평동 474-3,37.8766743,127.7498895
후평초등학교,강원도 춘천시 후평동 511-36,37.8827158,127.7441564
동부초등학교,강원도 춘천시 후평동 894,37.8708167,127.7547818
성원초등학교,강원도 춘천시 퇴계동 1035,37.8482999,127.7445837
천전초등학교,강원도 춘천시 신북읍 율문리 295,37.9273882,127.7455084
오동초등학교,강원도 춘천시 신북읍 발산리 473-2,37.9514188,127.7581622
상천초등학교,강원도 춘천시 신북읍 천전리 170,37.9335917,127.7854241
금병초등학교,강원도 춘천시 신동면 증리 360-1,37.815166,127.7144437
금산초등학교,강원도 춘천시 서면 금산리 472-1,37.9032493,127.6995872
당림초등학교,강원도 춘천시 서면 당림리 414-1,37.83763,127.607843
서상초등학교,강원도 춘천시 서면 신매리 329-1,37.9289032,127.7072893
조양초등학교,강원도 춘천시 동산면 조양리 371-1,37.7512003,127.7956209
다문초등학교,경기도 양평군 용문면 다문리 626,37.4857915,127.591646
대전봉산초등학교,대전광역시 서구 갈마동 389,36.3453547,127.3652674
대전선암초등학교,대전광역시 서구 관저동 1152,36.2971614,127.3335346
대전구봉초등학교,대전광역시 서구 관저동 1133,36.2995259,127.329404
대전금동초등학교,대전광역시 서구 관저동 1141,36.2980967,127.3255769
대전관저초등학교,대전광역시 서구 관저동 992,36.3062177,127.3393344
대전느리울초등학교,대전광역시 서구 관저동 1396,36.2982387,127.3434834
대전도마초등학교,대전광역시 서구 도마동 27,36.324416,127.371193
대전유천초등학교,대전광역시 서구 도마동 149-1,36.3148101,127.3751801
대전둔산초등학교,대전광역시 서구 둔산동 1205,36.3499295,127.3808805
한밭초등학교,대전광역시 서구 둔산동 1386,36.353948,127.393991
대전만년초등학교,대전광역시 서구 만년동 280,36.3665863,127.3768245
대전둔천초등학교,대전광역시 서구 만년동 8,36.3680343,127.373607
대전서부초등학교,대전광역시 서구 변동 254-439,36.3330337,127.3689749
대전복수초등학교,대전광역시 서구 복수동 272,36.307763,127.3766871
대전문정초등학교,대전광역시 서구 둔산동 1813,36.3504964,127.3954423
대전삼천초등학교,대전광역시 서구 둔산동 1807,36.3540132,127.4004394
대전성천초등학교,대전광역시 서구 월평동 221,36.3626823,127.3731072
대전성룡초등학교,대전광역시 서구 월평동 304,36.3614641,127.3730175
대전정림초등학교,대전광역시 서구 정림동 638,36.3031283,127.3661454
대전신계초등학교,대전광역시 서구 복수동 452,36.3017349,127.3778721
대전삼육초등학교,대전광역시 서구 도마동 163-11,36.3116739,127.3725847
대전상원초등학교,대전광역시 유성구 상대동 485,36.3425014,127.3329754
중남초등학교,울산광역시 울주군 삼남면 신화리 1485-17,35.5365503,129.1082363
성신초등학교,경기도 고양시 덕양구 행신동 929,37.6265954,126.8403046
